number,name,role
31,David Warner,
49,Travis Head,
32,Steve Smith,
4,Glenn Maxwell,
33,Marcus Stoinis,
30,Mitchell Marsh,
56,Josh Inglis,wk
46,Pat Cummins,c
63,Mitch Starc,
25,Adam Zampa,
38,Josh Hazlewood,
