number,name,role
18,Virat Kohli,
45,Rohit Sharma,c
77,Shubman Gill,
63,Suryakumar Yadav,
93,Rishabh Pant,wk
17,Hardik Pandya,
33,Ravindra Jadeja,
99,Jasprit Bumrah,
3,Shreyas Iyer,
11,Kuldeep Yadav,
25,Axar Patel,
